id,title,publication_year,publisher,price,in_stock
1,The Silent Hour,2018,BluePeak Studios,14.99,0
2,Into the Shadows,2020,Nightfall Pictures,12.49,0
3,Tomorrow’s Edge,2022,Futura Films,19.99,53
4,Lost at Dawn,2017,Riverbend Media,9.99,45
5,City of Dreams,2021,Lighthouse Entertainment,16.75,0
6,Beyond the Ice,2019,Northern Reel,13.5,36
7,Whispers in the Fog,2016,Silvergate Films,8.9,12
8,The Forgotten Trail,2015,Granite Motion,7.25,8
9,Parallel Lives,2020,Vivid Motion,11.99,21
10,Fragments of Time,2018,EchoFrame Studios,10.45,0
11,Red Horizon,2023,Phoenix Pictures,21.0,60
12,The Last Equation,2022,Gridlock Films,15.95,19
13,Sunset Corridor,2019,Pacific Vibe,12.0,5
14,The Distant Ring,2014,Cloudscape Media,6.8,0
15,Voices from Mars,2021,OrbitLine Studios,17.45,41
16,Golden Threads,2017,WillowWorks,10.25,18
17,After the Storm,2020,Darkwell Studios,14.5,10
18,The Clocks Unwind,2016,Timeless Films,9.95,30
19,Velvet Skies,2018,Studio Magnolia,11.35,1
20,In the Pale Light,2019,FrameShift Pictures,12.9,4
21,Exit Nowhere,2021,Cobalt Horizon,15.0,29
22,Code 94,2022,Digital Rush,13.25,38
23,Final Broadcast,2015,Network Rewind,8.7,23
24,Through the Veil,2020,Moonbright Media,14.99,3
25,Hidden Reflections,2017,MirrorLake Films,9.8,50
26,Beneath the Metro,2019,UrbanCore Productions,10.6,31
27,Static Line,2023,AltStream Cinema,19.5,17
28,Dust and Embers,2018,EmberEdge Films,12.75,27
29,Nine Seconds,2016,Pulse Pictures,9.15,11
30,The Wander Loop,2021,OpenTrack Studios,16.2,7
